name,day1,day2,day3
Umar,American Dream USA,American Delight,
Katie,American Dream USA,Lin's USA Diner,
Oscar,American Dream USA,American Delight,American Delight
Zach,American Dream USA,American Delight,
Leo,American Dream USA,American Delight,Lin's USA Diner
David,American Dream USA,American Delight,American Delight
Quincy,American Dream USA,American Delight,American Delight
Jack,American Dream USA,American Delight,American Delight
Xena,American Dream USA,American Delight,
Bob,American Dream USA,American Delight,American Delight
